게임 이름	게임 Id	소스			
The Temple of Elemental Evil	1207658889	GOG	34시간 12분	53시간 21분	104시간 18분
The Walking Dead	207610	Steam	9시간 8분	10시간 6분	10시간 20분
The Walking Dead	1432207977	GOG	9시간 8분	10시간 6분	10시간 20분
The Walking Dead: Season Two	261030	Steam	데이터 없음		
The Witcher 2: Assassins of Kings - Enhanced Edition	20920	Steam	24시간 9분	34시간 37분	56시간 24분
The Witcher 3: Wild Hunt	292030	Steam	51시간 38분	103시간 44분	174시간 41분
The Witcher Goodies Collection	1980301910	GOG	데이터 없음		
The Witcher: Enhanced Edition Director's Cut	20900	Steam	35시간 14분	45시간 58분	63시간 51분
The Wolf Among Us	Cobbler	Epic	8시간 37분	9시간 18분	10시간 57분
This Is the Police	443810	Steam	19시간 54분	23시간 38분	32시간 54분
This Is the Police 2	785740	Steam	21시간 7분	25시간 52분	29시간 52분
Ticket to Ride: Classic Edition	Towhee	Epic	45 분	--	--
To the Moon	206440	Steam	4시간 7분	4시간 31분	4시간 36분
Tom Clancy's Ghost Recon Phantoms - NA	243870	Steam	데이터 없음		
Tom Clancy's Ghost Recon: Future Soldier	212630	Steam	10시간 30분	13시간 15분	17시간 4분
Tomb Raider	203160	Steam	11시간 19분	15시간 27분	20시간 54분
Tomb Raider GAME OF THE YEAR EDITION	d6264d56f5ba434e91d4b0a0b056c83a	Epic	12시간 10분	15시간 12분	20시간 35분
Tormentor X Punisher	Goby	Epic	2시간 55분	--	16시간 45분
Total War: Three Kingdoms	769f2fee68e9477180da900ccccbbcf0	Epic	46시간 1분	68시간 39분	672시간 57분
Tree of Life - Experimental Server	696260	Steam	데이터 없음		
Tropico 5	245620	Steam	22시간 38분	41시간 8분	87시간 41분
Turbo Pug DX	513780	Steam	50 분	3시간 15분	3시간 26분
Tyranny	36b0e40890f147fbb1e3965f87369156	Epic	20시간 27분	34시간 55분	56시간 33분
Ultima IV: Quest of the Avatar	1207658962	GOG	21시간 12분	34시간 16분	52시간 4분
Ultima V: Warriors of Destiny	1207662443	GOG	37시간 23분	49시간 16분	96시간 8분
Ultima VI: The False Prophet	1207662453	GOG	29시간 47분	31시간 19분	57시간 2분
UNCHARTED: 레거시 오브 시브즈 컬렉션	5661dd2d-e26d-4d06-97bf-e01f997843d3	DRM-free	데이터 없음		
Undertale	391540	Steam	데이터 없음		
Undying	c98c934106994f2d8afc36c3f1872549	Epic	25시간 33분	32시간 17분	--
Uni	1011300	Steam	40 분	50 분	58 분
Unturned	304930	Steam	21시간 54분	75시간 53분	135시간 56분
Uplink	1510	Steam	8시간 22분	15시간 54분	32시간 7분
VA-11 Hall-A: Cyberpunk Bartender Action	447530	Steam	11시간 3분	13시간 36분	18시간 4분
Valkyria Chronicles Remastered	294860	Steam	30시간 20분	38시간 12분	58시간 29분
Vampire Survivors	1794680	Steam	15시간 6분	28시간 3분	53시간 3분
Viscera Cleanup Detail: Shadow Warrior	255520	Steam	1시간 35분	2시간 6분	2시간 12분
Wallpaper Engine	431960	Steam	데이터 없음		
Wartales	1527950	Steam	43시간 43분	76시간 5분	146시간 35분
Wasteland 2	240760	Steam	40시간 46분	64시간 20분	100시간 5분
Wasteland 2: Director's Cut	404730	Steam	40시간 46분	64시간 20분	100시간 5분
Wasteland 3	719040	Steam	35시간 49분	49시간 34분	75시간 17분
What Remains of Edith Finch	Badger	Epic	2시간 7분	2시간 32분	2시간 52분
Windbound	a95bf4df6627431ca5baff8173c59635	Epic	14시간 8분	15시간 21분	19시간 34분
World War Z	Wombat	Epic	7시간 28분	13시간 28분	47시간 11분
XCOM 2	268500	Steam	33시간 12분	47시간 59분	89시간 28분
XCOM: Chimera Squad	882100	Steam	21시간 20분	27시간 14분	64시간 28분
XCOM: Enemy Unknown	200510	Steam	26시간 41분	37시간 57분	70시간 19분
X-COM: UFO Defense	1445250340	GOG	38시간 40분	49시간 0분	71시간 43분
Xenogears	cc74fe34-2b1f-4cc5-8a45-5cddd91e1b0b	에뮬	56시간 10분	65시간 36분	80시간 41분
Yet Another Zombie Defense	270550	Steam	1시간 33분	2시간 10분	4시간 10분
Yooka-Laylee and the Impossible Lair	Duckbill	Epic	12시간 59분	16시간 2분	21시간 42분
大海战 Navy Field IV	481890	Steam	데이터 없음		
